No,ANCHOR,TENANT,Site ID DMT,Project ID Actual,Tower Owner,Site ID Tenant,Site Name Owner,Site Name Actual,Address,City,Province,Longitude,Latitude,Site Source,Last Survey Audit,NPA,Name Of Tenant,Count Number Of Tenant,Tenant Start Lease,Tenant End Lease,Tenant Rental Price/Month,Class Of Service,Site Type,longitude_decimal,latitude_decimal
9,ANCHOR,TENANT,BYW-07-001,11TS03B2296,MITRATEL,BWI083,Kedungrejo (split Muncar2_1),Kedungrejo (split Muncar2_1),"Desa Kedung Ringin Kec, Muncar Kab, Banyuwangi Jatim",Banyuwangi,Jawa Timur,11431579.0,-845982.0,ORGANIC,2099-12-31,NO,TSEL,3,2021-05-15 00:00:00,2026-05-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,114.31579,-8.45982
10,,TENANT,BYW-07-001,15XL04C0107,MITRATEL,3553030G,Kedungrejo (split Muncar2_1),Kedungrejo (split Muncar2_1),"Desa Kedung Ringin Kec, Muncar Kab, Banyuwangi Jatim",Banyuwangi,Jawa Timur,11431579.0,-845982.0,ORGANIC,2099-12-31,NO,XL,3,2022-07-06 00:00:00,2030-07-05 00:00:00,12083333.0,Full Maintenance,GREENFIELD,114.31579,-8.45982
11,,,BYW-07-001,19HC07C0458,MITRATEL,134588,Kedungrejo (split Muncar2_1),Kedungrejo (split Muncar2_1),"Desa Kedung Ringin Kec, Muncar Kab, Banyuwangi Jatim",Banyuwangi,Jawa Timur,11431579.0,-845982.0,ORGANIC,2099-12-31,NO,IOH,3,2022-10-01 00:00:00,2031-12-18 00:00:00,11571628.0,No Maintenance,GREENFIELD,114.31579,-8.45982
12,,TENANT,BYW-07-001,20IS09C0320,MITRATEL,20BWI177,Potensial DMT461DMT,Kedungrejo (split Muncar2_1),"Desa Kedung Ringin Kec, Muncar Kab, Banyuwangi Jatim",Banyuwangi,Jawa Timur,11431579.0,-845982.0,ORGANIC,2099-12-31,NO,IOH,3,2022-01-01 00:00:00,2031-03-12 00:00:00,12056100.0,Full Maintenance,GREENFIELD,114.31579,-8.45982
14,,,BYW-07-215,11TS01B0561,MITRATEL,BWI088,Temuguruh,Temuguruh,Dsn. Krajan Wetan Rt. 01 Rw. 03  Desa Temuguruh Kec. Sempu Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,1141977.0,-831409.0,ORGANIC,2099-12-31,NO,TSEL,0,2013-01-01 00:00:00,2021-06-29 00:00:00,14700000.0,No Maintenance,GREENFIELD,114.1977,-8.31409
15,,,BYW-07-215,16BS04C0004,MITRATEL,0,Temuguruh,Temuguruh,Dsn. Krajan Wetan Rt. 01 Rw. 03 Desa Temuguruh Kec. Sempu Kab. Banyuwangi Jatim,Banyuwangi,Jawa Timur,1141977.0,-831409.0,ORGANIC,2099-12-31,NO,IBS,0,2022-01-01 00:00:00,2026-06-02 00:00:00,7500000.0,No Maintenance,GREENFIELD,114.1977,-8.31409
16,ANCHOR,TENANT,BYW-07-003,11TS01B0573,MITRATEL,BWI082,Jalan Tombro,Jalan Tombro,Jl. Ikan Tombro 29 Rt. 02 Rw. 01 No. 29 Banyuwangi Kec. Banyuwangi Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,114378935.0,-8219333.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-05-23 00:00:00,2026-05-22 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,114.378935,-8.219333
17,,TENANT,BYW-07-003,15SF07C0005,MITRATEL,0,Jalan Tombro,Jalan Tombro,Jl. Ikan Tombro 29 Rt. 02 Rw. 01 Kec. Banyuwangi Kab. Banyuwangi Jatim,Banyuwangi,Jawa Timur,114378935.0,-8219333.0,ORGANIC,2099-12-31,NO,SMART,2,2020-09-22 00:00:00,2025-09-21 00:00:00,8000000.0,No Maintenance,GREENFIELD,114.378935,-8.219333
18,ANCHOR,TENANT,BYW-07-004,11TS01B0576,MITRATEL,BWI077,Kalipuro (Ant. Giri - banyuwangi 2),Kalipuro (Ant. Giri - banyuwan,Lingk.Tirtopuro Rt/Rw 001/001  Kel.Kalipuro Kec.Kalipuro Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,11435655.0,-8181688.0,ORGANIC,2099-12-31,NO,TSEL,1,2021-05-15 00:00:00,2026-05-14 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,114.35655,-8.181688
22,ANCHOR,TENANT,BYW-07-005,11TS01B0569,MITRATEL,BWI089,Kedung Wungu,Kedung Wungu,Rt 27 Rw 03 Desa Kedung Gebang  Desa Kedung Gebang Kec. Tegal Dlimo Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,11431724.0,-851668.0,ORGANIC,2099-12-31,NO,TSEL,1,2021-06-15 00:00:00,2026-06-14 00:00:00,12750000.0,Minimum Maintenance,GREENFIELD,114.31724,-8.51668
23,,,BYW-07-217,11TS01B0571,MITRATEL,BWI087,Kepundungan,Kepundungan,"Desa Kepundungan RT 04 RW 02 Kec, Srono Kab, Banyuwangi",Banyuwangi,Jawa Timur,114246.0,-838304.0,ORGANIC,2099-12-31,NO,TSEL,0,2021-06-30 00:00:00,2026-06-29 00:00:00,12750000.0,No Maintenance,GREENFIELD,114.246,-8.38304
24,ANCHOR,TENANT,BYW-07-006,11TS01B0572,MITRATEL,BWI095,Tapanrejo,Tapanrejo,Rt 01 Rw 09 Desa Tapanrejo  Desa Tapanrejo Kec. Muncar Banyuwangi Banyuwangi 60235,Banyuwangi,Jawa Timur,11428464.0,-843549.0,ORGANIC,2099-12-31,NO,TSEL,2,2021-06-30 00:00:00,2026-06-29 00:00:00,12500000.0,Minimum Maintenance,GREENFIELD,114.28464,-8.43549
